doubling every two days;doubling every 4 days;doubling every 10 days;Italy;US;India;Germany;China;date
100.0;100.0;100.0;155.0;103.0;102.0;130.0;548.0;0.0
141.4213562373095;118.9207115002721;107.17734625362931;229.0;172.0;113.0;159.0;643.0;1.0
200.0;141.4213562373095;114.86983549970351;322.0;215.0;119.0;196.0;920.0;2.0
282.842712474619;168.1792830507429;123.11444133449163;453.0;337.0;142.0;262.0;1406.0;3.0
400.0;200.0;131.9507910772894;655.0;450.0;156.0;482.0;2075.0;4.0
565.685424949238;237.8414230005442;141.4213562373095;888.0;515.0;194.0;670.0;2877.0;5.0
800.0;282.842712474619;151.5716566510398;1128.0;713.0;244.0;799.0;5509.0;6.0
1131.370849898476;336.3585661014858;162.4504792712471;1694.0;1105.0;330.0;1040.0;6087.0;7.0
1600.0;400.0;174.11011265922482;2036.0;1530.0;396.0;1176.0;8141.0;8.0
2262.741699796952;475.6828460010884;186.60659830736148;2502.0;2115.0;499.0;1457.0;9802.0;9.0
3200.0;565.685424949238;200.0;3089.0;2814.0;536.0;1908.0;11891.0;10.0
4525.483399593904;672.7171322029716;214.35469250725862;3858.0;2986.0;657.0;2078.0;16630.0;11.0
6400.0;800.0;229.73967099940697;4636.0;4354.0;727.0;3675.0;19716.0;12.0
9050.966799187809;951.3656920021768;246.22888266898326;5883.0;5970.0;887.0;4585.0;23707.0;13.0
12800.0;1131.370849898476;263.9015821545788;7375.0;8386.0;987.0;5795.0;27440.0;14.0
18101.933598375617;1345.4342644059432;282.842712474619;9172.0;12674.0;1024.0;7272.0;30587.0;15.0
25600.0;1600.0;303.14331330207966;10149.0;18736.0;1251.0;9257.0;34110.0;16.0
36203.867196751235;1902.7313840043537;324.9009585424942;12462.0;24508.0;1397.0;12327.0;36814.0;17.0
51200.0;2262.741699796952;348.22022531844965;15113.0;33152.0;1998.0;15320.0;39829.0;18.0
72407.73439350247;2690.8685288118863;373.21319661472296;17660.0;43850.0;2543.0;19848.0;42354.0;19.0
102400.0;3200.0;400.0;21157.0;54112.0;2567.0;22213.0;44386.0;20.0
144815.46878700494;3805.4627680087074;428.70938501451724;24747.0;66055.0;3082.0;24873.0;44759.0;21.0
204800.0;4525.483399593904;459.47934199881405;27980.0;83611.0;3588.0;29056.0;59895.0;22.0
289630.9375740099;5381.737057623773;492.4577653379664;31506.0;102101.0;4778.0;32986.0;66358.0;23.0
409600.0;6400.0;527.8031643091576;35713.0;122059.0;5311.0;37323.0;68413.0;24.0
579261.8751480198;7610.925536017415;565.685424949238;41035.0;141205.0;5916.0;43938.0;70513.0;25.0
819200.0;9050.966799187809;606.2866266041593;47021.0;162707.0;6725.0;50871.0;72434.0;26.0
1158523.7502960395;10763.474115247545;649.8019170849884;53578.0;188744.0;7598.0;57695.0;74211.0;27.0
1638400.0;12800.0;696.4404506368992;59138.0;214205.0;8446.0;62095.0;74619.0;28.0
2317047.500592079;15221.85107203483;746.4263932294459;63927.0;244610.0;9205.0;66885.0;75077.0;29.0
3276800.0;18101.933598375617;800.0;69176.0;276547.0;10453.0;71808.0;75550.0;30.0
4634095.001184158;21526.94823049509;857.4187700290345;74386.0;309699.0;11487.0;77872.0;77001.0;31.0
6553600.0;25600.0;918.9586839976281;80589.0;337573.0;12322.0;84794.0;77022.0;32.0
9268190.002368316;30443.70214406966;984.9155306759328;86498.0;367215.0;13430.0;91159.0;77241.0;33.0
13107200.0;36203.867196751235;1055.6063286183153;92472.0;397992.0;14352.0;96092.0;77754.0;34.0
18536380.004736632;43053.89646099018;1131.370849898476;97689.0;429686.0;15722.0;100123.0;78166.0;35.0
26214400.0;51200.0;1212.5732532083186;101739.0;464442.0;17615.0;103374.0;78600.0;36.0
37072760.009473264;60887.40428813932;1299.6038341699768;105792.0;497943.0;18539.0;107663.0;78928.0;37.0
52428800.0;72407.73439350247;1392.8809012737984;110574.0;527969.0;20080.0;113296.0;79356.0;38.0
74145520.01894653;86107.79292198036;1492.8527864588918;115242.0;556522.0;21370.0;118181.0;79932.0;39.0
104857600.0;102400.0;1600.0;119827.0;581813.0;23077.0;122171.0;80136.0;40.0
148291040.03789306;121774.80857627864;1714.8375400580687;124632.0;608878.0;24530.0;124908.0;80261.0;41.0
209715200.0;144815.46878700494;1837.9173679952562;128948.0;637974.0;26283.0;127854.0;80386.0;42.0
296582080.0757861;172215.58584396073;1969.8310613518656;132547.0;669272.0;27890.0;130072.0;80537.0;43.0
